epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,66.5246,0.79993,1.6625,0.91945,0.97932,0,0.6703,0.58685,0.66599,0.47346,0.66509,0.58319,0.6558,0.44072,0.90425,1.9921,0.99796,1.06279,0,0.000413978,0.000413978,0.000413978
2,141.748,0.81263,1.72094,0.92911,0.97734,0,0.5334,0.662,0.62076,0.44368,0.5332,0.64909,0.61887,0.39967,0.89138,2.09639,1.0801,1.07436,0,0.000803234,0.000803234,0.000803234
3,214.261,0.82166,1.7551,0.97449,0.9893,0,0.62566,0.59818,0.62464,0.4402,0.60908,0.59183,0.61389,0.38463,nan,nan,nan,nan,0,0.00116499,0.00116499,0.00116499
4,288.013,0.83967,1.78323,0.9896,0.9923,0,0.58329,0.57941,0.61888,0.43549,0.58331,0.57341,0.61131,0.38849,0.91291,2.16861,1.07618,1.07615,0,0.00112625,0.00112625,0.00112625
5,362.184,0.84105,1.80061,0.99503,0.99519,0,0.53367,0.57625,0.57169,0.4135,0.5315,0.5727,0.56974,0.36436,0.89115,2.13258,1.08247,1.06304,0,0.001085,0.001085,0.001085
6,433.622,0.85167,1.78885,1.00184,0.99469,0,0.6098,0.63098,0.64496,0.45037,0.59168,0.62114,0.62851,0.39604,0.92124,2.13598,1.0288,1.07577,0,0.00104375,0.00104375,0.00104375
7,505.344,0.85015,1.77994,0.9715,1.00013,0,0.59444,0.615,0.63061,0.45819,0.57584,0.61658,0.61671,0.41424,0.91812,2.12819,1.00688,1.06839,0,0.0010025,0.0010025,0.0010025
8,576.263,0.83962,1.78816,0.96483,0.99089,0,0.60239,0.6175,0.61174,0.43362,0.59426,0.60935,0.60422,0.39297,0.9252,2.07871,1.04918,1.0721,0,0.00096125,0.00096125,0.00096125
9,646.766,0.83643,1.75529,0.94859,0.99454,0,0.56996,0.64562,0.64818,0.46641,0.55509,0.63458,0.63528,0.41342,0.91823,2.11755,1.02623,1.07626,0,0.00092,0.00092,0.00092
10,713.98,0.82765,1.72603,0.95388,0.98462,0,0.61624,0.58418,0.60438,0.43705,0.62169,0.57277,0.59179,0.38951,0.88402,2.06735,1.08373,1.06034,0,0.00087875,0.00087875,0.00087875
11,779.878,0.82141,1.70446,0.93876,0.98548,0,0.64653,0.56156,0.61424,0.44191,0.64836,0.56119,0.6049,0.3954,0.89767,2.11869,1.04947,1.0711,0,0.0008375,0.0008375,0.0008375
12,845.222,0.80295,1.66156,0.91922,0.97769,0,0.60234,0.62481,0.62826,0.45643,0.60122,0.62088,0.61923,0.41182,0.89885,2.07826,1.00138,1.05825,0,0.00079625,0.00079625,0.00079625
13,911.959,0.8089,1.70027,0.92984,0.98041,0,0.5956,0.61584,0.62094,0.44451,0.58991,0.61179,0.60963,0.37969,0.894,2.13972,1.02091,1.06185,0,0.000755,0.000755,0.000755
14,986.043,0.79798,1.66612,0.90848,0.97609,0,0.6975,0.63906,0.66758,0.47559,0.69229,0.63322,0.6537,0.41409,0.89964,2.12841,1.00588,1.06433,0,0.00071375,0.00071375,0.00071375
15,1060.36,0.80987,1.66162,0.91004,0.98046,0,0.54968,0.63315,0.63257,0.45839,0.5434,0.64025,0.62643,0.41496,0.88155,2.05993,0.97975,1.05817,0,0.0006725,0.0006725,0.0006725
16,1135.32,0.7941,1.64899,0.88407,0.97204,0,0.59878,0.63099,0.63656,0.45811,0.59846,0.60544,0.62501,0.41443,0.88953,2.15612,0.9836,1.0593,0,0.00063125,0.00063125,0.00063125
17,1206.23,0.79789,1.63356,0.9041,0.97016,0,0.66493,0.58179,0.63921,0.46112,0.66835,0.57777,0.63055,0.4222,0.89273,2.06206,0.98375,1.06381,0,0.00059,0.00059,0.00059
18,1273.59,0.80386,1.63577,0.89425,0.97411,0,0.5864,0.66344,0.66113,0.46764,0.58434,0.63703,0.64213,0.43074,0.92196,2.08121,0.99762,1.07421,0,0.00054875,0.00054875,0.00054875
19,1342.59,0.78939,1.62853,0.87731,0.97246,0,0.60882,0.63379,0.64825,0.45716,0.59066,0.62273,0.63176,0.41435,0.89368,2.0791,0.97286,1.06651,0,0.0005075,0.0005075,0.0005075
20,1409.02,0.78144,1.58333,0.8477,0.9666,0,0.67187,0.62685,0.66114,0.47266,0.66684,0.6168,0.64468,0.42463,0.90176,2.07091,0.97558,1.07218,0,0.00046625,0.00046625,0.00046625
21,1489.56,0.76546,1.62717,0.8446,0.97843,0,0.56351,0.6873,0.64679,0.45665,0.65603,0.60874,0.63683,0.40924,0.90656,2.05015,0.97598,1.07597,0,0.000425,0.000425,0.000425
22,1555.04,0.75988,1.60384,0.83063,0.98192,0,0.58769,0.67955,0.66364,0.47784,0.58499,0.67405,0.64645,0.42268,0.88579,2.04725,0.95628,1.06138,0,0.00038375,0.00038375,0.00038375
23,1619.64,0.75828,1.58463,0.81731,0.97564,0,0.67153,0.66335,0.68416,0.48704,0.67738,0.66139,0.6775,0.44849,0.88265,2.01743,0.9383,1.06012,0,0.0003425,0.0003425,0.0003425
24,1688.57,0.74811,1.55902,0.80364,0.97734,0,0.63277,0.6663,0.66915,0.47321,0.64845,0.66024,0.66145,0.4284,0.89267,2.02524,0.95363,1.07393,0,0.00030125,0.00030125,0.00030125
25,1751.47,0.75035,1.54614,0.80168,0.97671,0,0.62378,0.66609,0.68048,0.49222,0.61796,0.65952,0.66337,0.44014,0.87551,2.03507,0.94378,1.05887,0,0.00026,0.00026,0.00026
26,1819.46,0.74473,1.54334,0.78473,0.97486,0,0.63022,0.65337,0.67679,0.48762,0.66174,0.63789,0.66358,0.44428,0.87947,2.02064,0.94196,1.05712,0,0.00021875,0.00021875,0.00021875
27,1884.23,0.73489,1.50746,0.76574,0.96466,0,0.64208,0.65093,0.67183,0.47997,0.66384,0.64127,0.65807,0.43315,0.88026,2.06462,0.94169,1.05802,0,0.0001775,0.0001775,0.0001775
28,1950.26,0.72531,1.50168,0.7543,0.96707,0,0.60217,0.67782,0.67673,0.48948,0.61033,0.66691,0.66439,0.43784,0.87503,2.03563,0.93511,1.06337,0,0.00013625,0.00013625,0.00013625
29,2014.51,0.7217,1.47321,0.75311,0.96024,0,0.65551,0.67917,0.68474,0.49139,0.65768,0.67129,0.67195,0.44021,0.87428,2.0289,0.93181,1.06077,0,9.5e-05,9.5e-05,9.5e-05
30,2078.86,0.71915,1.47799,0.735,0.95738,0,0.62194,0.69144,0.67778,0.48627,0.62037,0.68668,0.66824,0.43822,0.86989,2.03257,0.92793,1.05813,0,5.375e-05,5.375e-05,5.375e-05
